All,Alle
"We can't add the product to the cart because of an option validation issue.","Het product kan niet aan de winkelwagen toe gevoegd worden, vanwege een optie validatie probleem."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 breidt \Magento\Catalog\Model\Product\Option\Type\DefaultType niet uit"
"The file '%1' for '%2' has an invalid extension.","Het bestand '%1' voor '%2' heeft een ongeldige extensie."
"The maximum allowed image size for '%1' is %2x%3 px.","Maximum allowed image size for '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Het bestand '%1', dat u heeft geüpload, is groter dan de %2 megabytes toegestaan door onze server."
"The file '%1' is invalid. Please choose another one","Het bestand '%1' is ongeldig. Kies een andere"
"File '%1' is not an image.","Bestand '%1' is geen afbeelding."
"Some of the selected item options are not currently available.","Sommige van de geselecteerde item-opties zijn op dit moment niet beschikbaar"
"Invalid attribute %fieldName = %fieldValue.","Ongeldig attribuut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Gevraagde winkel is niet gevonden. Rij-ID: SKU = %SKU, opslag-ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Ongeldig attribuut Kosten = %cost. Row ID: Art. nr. = %SKU. Store ID: %storeId."
"Could not save Prices.","Prijzen konden niet worden opgeslagen."
"Could not delete Prices","Prijzen konden niet worden verwijderd"
"Could not save Tier Prices","Staffelprijzen konden niet worden opgeslagen"
"Could not replace Tier Prices","Staffelprijzen konden niet worden vervangen"
"Could not delete Tier Prices","Staffelprijzen konden niet worden verwijderd"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuut SKU= %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuut Prijs = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuus Prijs type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuut Aantal = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ongeldig attribuut Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We hebben een dubbele website, staffelprijs, klantgroep en aantal gevonden: Klantgroep = %customerGroup, Website ID = %websiteId, Aantal = %qty. Rij ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Geen entiteit gevonden met Klantgroep = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Klantgroep: %customerGroup, Aantal: %qty."
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product heeft geen groepsprijs met dergelijke gegevens: Klantgroep Id = '%1', Website = %2, Aantal = %3"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 breidt \Magento\Catalog\Model\Product\Type\AbstractType niet uit"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 breidt \Magento\Catalog\Model\Product\Type\Price niet uit"
"Not Visible Individually","Niet individueel zichtbaar"
"Catalog, Search","Catalogus, zoeken"
"Something went wrong while removing products from the websites.","Er ging iets fout tijdens het verwijderen van producten van de websites."
"Something went wrong while adding products to websites.","Er ging iets fout tijdens het toevoegen van producten aan websites."
"Product with SKU '%1' is not linked to product with SKU '%2'","Product met SKU %1 is niet gekoppeld aan product met SKU %2"
"Product %1 doesn't have linked %2 as %3","Product %1 heeft geen gekoppelde %2 als %3"
"Invalid product data: %1","Ongeldige productgegevens: %1"
"Database connection error","Database connectie fout"
"Database deadlock found when trying to get lock","Database deadlock gedetecteerd tijdens het verkrijgen van een lock"
"Database lock wait timeout exceeded","Database lock wait timeout verstreken"
"There are not websites for assign to product","Er zijn geen websites om aan het product toe te wijzen"
"Could not assign product ""%1"" to websites ""%2""","Kon het product ""%1"" niet toewijzen aan websites ""%2"""
"Could not save product ""%1"" with websites %2","Kon het product ""%1"" niet opslaan bij websites %2"
"We cannot determine the field name.","We kunnen de naam van het veld niet bepalen."
"Attribute '%1' is locked. %2","Attribuut '%1' is vergrendeld. %2"
"Do not change the scope. %1","Verander de scope niet. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 implementeert BaseSelectProcessorInterface niet"
"A product type is not defined for the indexer.","Een producttype is niet opgegeven"
"Product with SKU %1 is not linked to product with SKU %2","Product met SKU %1 is niet gekoppeld aan product met SKU %2"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 breidt \Magento\Framework\Filter\Template niet uit"
"Could not get extension attributes","Kan extension attributes niet ophalen"
message,bericht
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ongeldig attribuut Prijs = %price. Row ID: SKU = %SKU, Store ID: %storeId, Prijs vanaf: %priceFrom, Price tot: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Het gevraagde winkel bestaat niet. Row ID: SKU = %SKU, Store ID: %storeId, Prijs vanaf: %priceFrom, Prijs tot: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ongeldig attribuut %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Prijs vanaf: %priceFrom, Prijs tot: %priceTo."
"Product Name or SKU","Productnaam of SKU"
"Start typing to find products","Begin met typen om producten te vinden"
"Advanced Pricing","Geavanceerde prijzen"
"Customer Group Price","Klantgroep prijs"
"Customer Group",Klantengroep
"Special Price From","Speciale prijs vanaf"
"Product Alerts",Product-notificaties
"Select Attribute","Selecteer Attribuut"
"Create New Attribute","Nieuw attribuut aanmaken"
"Customizable Options","Aanpasbare opties"
"Custom options let customers choose the product variations they want.","Aangepaste opties laat klanten de productvariaties die ze willen kiezen."
"Select Product","Selecteer Product"
"Add Value","Waarde toevoegen"
"Option Type",Optietype
"Max Characters","Max tekens"
"Compatible File Extensions","Compatibele bestandsextensies"
"Maximum Image Size","Maximum grootte afbeelding"
"Please leave blank if it is not an image.","Leeg laten indien dit geen afbeelding is."
"This item has weight","Dit product heeft een gewicht"
"This item has no weight","Dit product heeft geen gewicht"
"Set Product as New From","Stel het product in als nieuw vanaf"
"Related Products, Up-Sells, and Cross-Sells","Verwante producten, up-sells en cross-sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Verwante producten worden getoond aan bezoekers als toevoeging aan het product dat de bezoeker bekijkt."
"Add Related Products","Verwante producten toevoegen"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Een duurder alternatief of alternatief van hogere kwaliteit dan het huidige product."
"Add Up-Sell Products","Up-sell producten toevoegen"
"Up-Sell Products","Up-sell producten"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Extra of complementaire producten. Deze impuls-aankopen worden in de winkelwagen getoond."
"Add Cross-Sell Products","Cross-sell producten toevoegen"
"Cross-Sell Products","Cross-sell producten"
"Schedule Update From","Plan Update van"
"Product in Websites","Product in websites"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Als uw Magento installatie meerdere website heeft, dan kunt u het bereik aanpassen om producten op specifieke websites te gebruiken."
name,naam
"Copy Data from","Kopieer gegevens van"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Als er geen aangepaste bovenliggende categorieën zijn, gebruik dan de standaard bovenliggende categorie. U kunt de categorie op elk moment wijzigen in <a href=""%1"" target=""_blank"">Producten > Categorieën</a>."
"Collapse All","Alles inklappen"
"Expand All","Alles uitklappen"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bevestig sitewissel. Alle gegevens die nog niet opgeslagen zijn, zullen verloren gaan."
"Manage Titles (Size, Color, etc.)","Beheer titels (grootte, kleur, etc)"
"Manage Options (Values of Your Attribute)","Beheer opties (waarden van uw attribuut)"
"Sort Option",Sorteeroptie
"The value of Admin must be unique.","De waarde van Admin moet uniek zijn."
Groups,Groepen
"Double click on a group to rename it.","Dubbelklik op een groep om te hernoemen."
"Unassigned Attributes","Niet-toegewezen attributen"
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw."
"A name is required.","Een naam is verplicht."
"Please select a node.","Selecteer een node."
"Please enter a new group name.","Geef een nieuwe groepsnaam op."
"An attribute group named ""/name/"" already exists.","Een attribuut groep genaamd ""/name/"" bestaat al."
"Sorry, we're unable to complete this request.","Deze aanvraag kan niet voltooid worden."
"You can't remove attributes from this attribute set.","U kunt geen attributen verwijderen uit deze attributenset."
"Custom Options","Eigen opties"
"This is a required option.","Dit is een verplichte optie."
"The field isn't complete.","Het veld is niet compleet."
"Compatible file extensions to upload","Compatibele bestandsextensies om te uploaden"
"Maximum image width","Maximum breedte afbeelding"
"Maximum image height","Maximum hoogte afbeelding"
"Maximum number of characters:","Maximale aantal karakters:"
"start typing to search template","begin met typen om sjabloon te vinden"
"Manage Stock","Voorraad beheren"
"Out-of-Stock Threshold","Niet op voorraad drempel"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Qty Uses Decimals","Hoeveelheid gebruikt decimalen"
Backorders,Nabestellingen
"Notify for Quantity Below","Melden bij Aantal lager dan"
"Enable Qty Increments","Activeer opklimmende aantallen"
"Qty Increments","Opklimmend aantal"
"Stock Availability","Beschikbaarheid voorraad"
"In Stock","Op voorraad"
"Out of Stock","Niet op voorraad"
"Add Product To Websites","Product aan websites toevoegen"
"Remove Product From Websites","Product van websites verwijderen"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Als u een product in de catalogus of zoekresultaten wilt verbergen, zet de status op 'Uitgeschakeld'."
"Delete Custom Option","Aangepaste optie verwijderen"
"Sort Custom Options","Aangepaste sorteeropties"
"Sort Custom Option","Aangepaste sorteeroptie"
"Item Price",Productprijs
"and above","en hoger"
"Delete Tier","Verwijder staffel"
"Product In Websites","Product in websites"
"(Copy data from: %1)","(Gegevens kopi&euml;ren van: %1)"
"Browse to find or drag image here","Bladeren om de afbeelding te vinden of sleep de afbeelding hierheen"
"Delete image","Verwijder afbeelding"
Hidden,Verborgen
"Alt Text",Alt-tekst
Role,Rol
"Image Size",Afbeeldingsgrootte
"Image Resolution",Afbeeldingresolutie
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Verbergen van product pagina"
"Allow Multiple Boxes for Shipping","Meerdere dozen voor verzending toestaan"
"start typing to search attribute","begin met typen om attribuutset te vinden"
"Basic Settings","Basis instellingen"
"Advanced Settings","Geavanceerde Instellingen"
"Special Price","Speciale prijs"
"Buy %1 for: ","Koop %1 voor: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Koop %1 voor %2 en <strong class=""benefit"">bespaar<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Koop %1 voor %2 per stuk"
"You added product %1 to the <a href=""%2"">comparison list</a>.","U heeft product %1 toegevoegd aan de <a href=""%2"">vergelijkingslijst</a>."
"Shop By",Filteren
"Shopping Options","Selectie verfijnen"
"Compare Products","Producten vergelijken"
"Print This Page","Print deze pagina"
"Remove Product","Product verwijderen"
"Add to Wish List","Voeg toe aan verlanglijst"
"You have no items to compare.","Geen producten geselecteerd."
"Remove This Item","Verwijder dit artikel"
Compare,Vergelijken
"Clear All","Alles wissen"
Prev,Vorige
"We can't find products matching the selection.","Geen producten gevonden voor deze selectie."
"Learn More","Lees verder"
"Add to Compare","Toevoegen om te vergelijken"
"We found other products you might like!","Andere producten die mogelijk iets voor u zijn!"
"More Choices:","Meer keuzes:"
"Check items to add to the cart or","Selecteer items om ze aan het mandje toe te voegen of"
"select all","alles selecteren"
"Items %1-%2 of %3","Producten %1-%2 van %3"
"%1 Item","%1 product"
"%1 Items","%1 producten"
Show,Toon
"Sort By","Sorteer op"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Set Descending Direction","Van hoog naar laag sorteren"
"View as","Tonen als"
"More Information","Meer informatie"
"Maximum %1 characters","Maximaal %1 tekens"
"Warning message",Waarschuwingsbericht
"We don't recognize or support this file extension type.","We herkennen of ondersteunen dit bestandsformaat type niet."
"Configure Product","Configureer product"
OK,Oké
"This value does not follow the specified format (for example, 200X300).","De waarde volgt het patroon niet (bijvoorbeeld 200X300)."
"Select type of option.","Type optie selecteren."
"Please add rows to option.","Voeg rijen toe aan optie."
"Choose existing category.","Kies bestaande categorie."
"Image Detail","Afbeelding details"
Adding...,Toevoegen...
Added,Toegevoegd
remaining,resterend
"too many","te veel"
"does not implement Storage Interface","implementeert de Storage Interface niet"
"unselect all","alles deselecteren"
Inventory,Assortimentsbeheer
"Catalog Section","Catalogus sectie"
Small,Klein
Main,Hoofd
"Custom image","Aangepaste afbeelding"
"Product Fields Auto-Generation","Product velden Auto-generatie"
"Mask for SKU","Masker voor art.nr."
"Use {{name}} as Product Name placeholder","Gebruik {{name}} als Productnaam aanduiding"
"Mask for Meta Title","Masker voor Meta-titel"
"Mask for Meta Keywords","Masker voor Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Gebruik {{name}} als productnaam of {{sku}} als artikelnummer aanduidingen"
"Mask for Meta Description","Masker voor metabeschrijving"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Gebruik {{name}} en {{description}} als aanduidingen voor productnaam en productbeschrijving"
"Recently Viewed/Compared Products","Recent bekeken/vergeleken producten"
"Lifetime of products in Recently Viewed Widget","Levensduur van de producten in de Recentelijk Bekeken widget"
"Lifetime of products in Recently Compared Widget","Levensduur van producten in de Recentelijk Vergeleken Widget"
"Synchronize widget products with backend storage","Synchroniseer widget producten met backend-opslag"
Storefront,Winkeletalage
"List Mode",Lijstweergave
"Products per Page on Grid Allowed Values","Toegestane waarden voor tabel-weergave van producten per pagina"
Comma-separated.,"gescheiden door een komma"
"Products per Page on Grid Default Value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on List Allowed Values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per Page on List Default Value","Standaardwaarde voor producten per pagina in lijstweergave"
"Use Flat Catalog Category","Gebruik platte catalogus categorie"
"Use Flat Catalog Product","Gebruik platte catalogus producten"
"Product Listing Sort by","Productlijst sorteren op"
"Allow All Products per Page","Alle producten per pagina toestaan"
"Product Image Placeholders","Placeholder voor productafbeelding"
"Page Title Separator","Scheidingsteken paginatitel"
"Use Canonical Link Meta Tag For Categories","Canonical links voor categorieen"
"Use Canonical Link Meta Tag For Products","Canonical links voor producten"
"Catalog Price Scope","Scope catalogusprijs"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Bepalend voor de scope op valuta ingesteld onder (""Valuta-instellingen"" > ""Valuta-opties"" > ""Standaardvaluta"")."
"Category Top Navigation","Categorie topnavigatie"
"Maximal Depth","Maximale Diepte"
"Date & Time Custom Options","Datum & Tijd klantopties"
"Use JavaScript Calendar","Maak gebruik van Javascript kalender"
"Date Fields Order","Veld volgorde"
"Time Format",Tijdsformaat
"Year Range",Jaar
"Please use a four-digit year format.","Gebruik een jaarnotatie met vier cijfers."
"Use Static URLs for Media Content in WYSIWYG","Gebruik statische URL's voor media content in de WYSIWYG editor"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media-inhoud wordt in de editor ingevoegd als een statische URL. Media-inhoud wordt niet bijgewerkt als de basis-URL van de systeemconfiguratie verandert."
"Top Level Category","Top level categorie"
"Product Info Column","Kolom productgegevens"
"Block after Info Column","Blok na info-kolom"
"Product Flat Data","Product platte data"
"Reorganize EAV product structure to flat structure","EAV productstructur naar platte structuur omschrijven"
"Category Flat Data","Categorieën Flat Data"
"Reorganize EAV category structure to flat structure","EAV categoriestructuur naar platte structuur omschrijving"
"Category Products","Categorie producten"
"Indexed category/products association",Categorieën/product-koppeling
"Product Categories",Productcategorieën
"Indexed product/categories association","Geïndexeerde product/categorieën koppeling"
"Product Price",Productprijs
"Index product prices",Productprijzen
"Catalog New Products List","Catalogus Nieuwe Producten Lijst"
"List of Products that are set as New","Producten Lijst met nieuwe producten"
"Display Type","Weergave modus"
"All products - recently added products, New products - products marked as new","Alle producten - recent toegevoegde producten, Nieuwe producten - producten gemarkeerd als nieuw"
"All products","Alle producten"
"New products","Nieuwe producten"
"Display Page Control","Toon paginering"
"Number of Products per Page","Aantal producten per pagina"
"Number of Products to Display","Aantal producten op de display"
"New Products Grid Template","Nieuwe producten tabel-sjabloon"
"New Products List Template","Nieuwe producten lijst-sjabloon"
"New Products Images and Names Template","Nieuwe product afbeeldingen en namen sjabloon"
"New Products Names Only Template","Enkel nieuwe producten sjabloon"
"New Products Images Only Template","Enkel nieuwe afbeeldingen sjabloon"
"Cache Lifetime (Seconds)","Cache Lifetime (in seconden)"
"Catalog Product Link","Catalogus Producten Link"
"Link to a Specified Product","Link naar een Gespecificeerd Product"
"Select Product...","Selecteer product..."
"Anchor Custom Text","Zet eigen tekst vast"
"If empty, we'll use the product name here.","Indien leeg gebruiken we de productnaam."
"Anchor Custom Title","Zet eigen titel vast"
"Product Link Block Template","Product-link block-sjabloon"
"Product Link Inline Template","Product-link inline-sjabloon"
"Catalog Category Link","Catalogus Categorie Link"
"Link to a Specified Category","Link naar een Gespecificeerde Categorie."
"Select Category...","Selecteer categorie..."
"If empty, we'll use the category name here.","Als leeg is, gebruiken we hier de naam van de categorie."
"Category Link Block Template","Categorieën-link block-sjabloon"
"Category Link Inline Template","Categorieën-link inline-sjabloon"
"Recently Viewed Products","Recent bekeken producten"
"List of Products Recently Viewed by Visitor","Overzicht van producten die recentelijk door bezoekers bekeken zijn"
"UI Component",UI-Component
"Number of Products to display","Aantal producten om te tonen"
"Product attributes to show","Product attributen om te tonen"
Image,Beeld
"Learn More Link","Leer meer link"
"Buttons to show","Knoppen om te tonen"
"Add to Wishlist","Toevoegen aan verlanglijst"
"Viewed Products Grid Template","Bekeken producten Grid-sjabloon"
"Viewed Products List Template","Bekeken producten Lijst-sjabloon"
"Viewed Products Sidebar Template","Bekeken producten Sidebar-sjabloon"
"Recently Compared Products","Recent vergeleken producten"
"List of Products Recently Compared by Visitor","Lijst van producten recentelijk vergelen per bezoeker"
"Compared Products Grid Template","Vergeleken producten Grid-sjabloon"
"Compared Products List Template","Vergeleken producten Lijst-sjabloon"
Set,"Stel (noun) / Bevestigd / Vastgelegd"
"Category Information","Categorie informatie"
"Enable Category","Categorie inschakelen"
"Include in Menu","Weergeven in menu"
"Category Image","Categorie afbeelding"
"Add CMS Block","CMS blok toevoegen"
"Display Settings",Weergave-instellingen
"Display Mode",Weergavemodus
Anchor,Anker
"Available Product Listing Sort By","Beschikbare productlijst sorteeropties"
"Use All","Gebruik al"
"Default Product Listing Sort By","Standaard productlijst sorteeropties"
"Layered Navigation Price Step","Gelaagde navigatie prijs stap"
"URL Key","URL sleutel"
"Meta Title","Meta titel"
"Meta Keywords",Meta-keywords
"Meta Description",Meta-omschrijving
"Products in Category","Producten in categorie"
Theme,Thema
Layout,Lay-out
"Layout Update XML","Lay-out update XML"
"Apply Design to Products","Ontwerp op producten toepassen"
"Schedule Design Update","Design Update plannen"
AttributeSetText,Attributesettekst
StatusText,Statustekst
"Product Image Watermarks","Watermerken voor productafbeelding"
Base,Basis
"Allowed file types: jpeg, gif, png.","Toegestane bestandstypes: jpeg, gif, png."
"Image Opacity",Afbeeldingstransparantie
"Example format: 200x300.","Voorbeeld afmeting: 200 x 300."
"Image Position",Afbeeldingspositie
"Attribute Properties",Attribuut-eigenschappen
"Attribute Label",Attribuutlabel
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
Values,Waarden
"Add this attribute to the list of column options in the product grid.","Dit attribuut toe aan de lijst van kolom-opties in de product-grid toevoegen."
"Add this attribute to the list of filter options in the product grid.","Dit attribuut toe aan de lijst met filteropties in het product-grid toevoegen."
"Delete selected items?","Verwijder geselecteerde items?"
"Delete items","Items verwijderen"
"Change status","Verander status"
Enable,Activeer
Disable,Deactiveer
"Update attributes","Atttributen bijwerken"
Overview,Overzicht
"Skip to the end of the images gallery","Ga naar het einde van de afbeeldingen-gallerij"
"Skip to the beginning of the images gallery","Ga naar het begin van de afbeeldingen-gallerij"
"Recently Compared","Recentelijk vergelijken"
"Add To Cart","In winkelwagen"
"Add To Compare","Aan productvergelijking toevoegen"
"Learn more","Meer informatie"
"Recently Viewed","Recent bekeken"
"Edit Event","Gebeurtenis bewerken"
"Add Event","Gebeurtenis toevoegen"
Events,gebeurtenissen
"Add Catalog Event","voeg catalogus gebeurtenis toe"
"Back to Category","Terug naar categorie"
"Edit Catalog Event","Bewerk catalogus gebeurtenis"
"Catalog Event Information","Catalogus-gebeurtenis informatie"
"Start Date",begindatum
"End Date",einddatum
Upcoming,aankomend
Open,open
Closed,gesloten
"Display Countdown Ticker On","Weergave afteller aan"
"Category Page","Categorie pagina"
"Product Page",productpagina
"[STORE VIEW]",[WINKELAANZICHT]
"Coming Soon","Komt spoedig"
"Sale Ends In","verkoop eindigt in"
"You deleted the event.","U hebt de gebeurtenis verwijderd."
"New Event","nieuwe gebeurtenis"
"Something went wrong while saving this event.","Er ging iets mis bij het opslaan van deze gebeurtenis."
"We did not upload your image.","We hebben uw afbeelding niet kunnen uploaden."
"You saved the event.","Je hebt de gebeurtenis opgeslagen."
"%1 is required.","%1 is verplicht."
"Please make sure the end date follows the start date.","Controleer of de einddatum de begindatum volgt."
"Event for selected category","gebeurtenis voor geselecteerde categorie"
"Lister Block","lijst blokkade"
"This product is no longer on sale.","Dit product is niet meer in de uitverkoop."
"Some of these products can no longer be sold.","Sommige van deze producten kan niet langer worden verkocht."
"Select Category","selecteer categorie"
Hrs,Uren
Mins,Minuten
"Preview Sale","zie verkoop in"
"Go To Sale","ga naar verkoop"
"View Sale","zie verkoop in"
Days,Dagen
"Catalog Events",Catalogus-gebeurtenissen
"Enable Catalog Events Functionality","Stel catalogus-gebeurtenissen functionaliteit aan"
"Enable Catalog Event Widget on Storefront","Schakel cataloog event widget in op winkeletalage"
"Number of Events to be Displayed in Event Slider Widget","aantal gebeurtenissen dat moet worden weergegeven in gebeurtenissen slider widget"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","U kunt deze standaardwaarde in CMS met behulp van de limiet negeren = ""x"" variabele. Laat leeg voor geen beperking."
"Events to Scroll per Click in Event Slider Widget","gebeurtenissen om te scroller per klik in gebeurtenissen slider widget"
"You can override this default value in CMS using the limit=""x"" variable.","U kan deze standaard waarde overschrijven in CMS door het gebruik van de limit=""x"" variabele."
"Catalog Events Carousel","Carousel van catalogus-gebeurtenissen"
"List all open Catalog Events as a Paginated Carousel","lijst-weergave open catalogus als een geïndexeerde carousel"
"Frame Size","frame grootte"
"Number of Items to display at once","aantal dingen dat tegelijkertijd wordt weergegeven"
Scroll,scroll
"Number of Items to scroll per click","aantal dingen dat scrollt per klik"
"Block Custom Width","Blokkeer aangepaste breedte"
"If empty, we'll automatically set the width value in pixels.","Indien leeg, vullen we automatisch de breedte in, in pixels."
"Catalog Events Carousel Default Template","Normale template van de carousel van catalogus-gebeurtenissen"
"Category ID","Categorie ID"
Start,Starten
End,Einde
"Countdown Ticker",Afteltimer
"Concrete type for %1 not implemented","Concreet type voor %1 is niet geïmplementeerd"
"Missing key %1 in product data","Missende key %1 in product data"
"""model"" value should be specified","De waarde ""model"" moet worden opgegeven"
"""path"" value should be specified","De waarde ""path"" moet worden opgegeven"
"currentPage value %1 specified is greater than the number of pages available.","currentPage waarde %1 opgegeven is groter dan het aantal beschikbare pagina's."
"""id for category should be specified","id voor categorie moet worden opgegeven"
"No child sku found for product link.","Geen child-sku gevonden voor product link."
"'search' or 'filter' input argument is required.","'zoeken' of 'filter' invoerargument is vereist."
"SimpleProduct type not defined in schema.","SimpleProduct type niet gedefinieerd in schema."
"'category_id' only supports 'eq' condition type.","'category_id' ondersteunt alleen 'eq' conditietype."
"Cannot resolve layered filter type","Kan gelaagde filtertype niet oplossen"
"Cannot resolve type","Kan type niet oplossen"
"Category doesn't exist","Categorie bestaat niet"
"""image_type"" value should be specified","De waarde ""image_type"" moet worden opgegeven"
"currentPage value %1 specified is greater than the %2 page(s) available.","currentpage waarde %1 opgegeven is groter dan de %2 pagina(s) beschikbaar."
"There are no product types available for export.","Er zijn geen product-typen beschikbaar om te exporteren."
"'Entity type model must be an instance of ' .","'Entiteit type model moet een exemplaar zijn van'."
"Wrong attribute set code ""%1"", please correct it and try again.","Verkeerde attribuut set code ""%1"", corrigeer en probeer het nogmaals."
"Category ""%1"" has not been created.","Categorie ""%1"" is niet gemaakt."
"File directory '%1' is not readable.","Bestandsmap '%1' is niet leesbaar."
"File directory '%1' is not writable.","Bestandsmap '%1' is niet schrijfbaar."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Waarde voor 'prijs' subkenmerk in 'winkel' kenmerk bevat onjuiste waarde"
"Please enter a value for title.","Voer een titel in."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'prijs' subattribuut in 'custom_options' attribuut bevat een onjuiste waarde"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'maximale karakters' sub attribuut in 'custom_options' kenmerk bevat onjuiste waarde"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'sorteervolgorde' subkenmerk in 'custom_options' kenmerk bevat onjuiste waarde"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'prijs waarde' subkenmerk in 'custom_options' kenmerk bevat onjuiste waarde"
"This name is already being used for custom option. Please enter a different name.","Deze naam wordt al gebruikt voor aangepaste optie. Voer een andere naam in."
"Custom options have different types.","Aangepaste opties hebben verschillende types."
"Every option entity must have a parent product entity.","Elke optie-entiteit moet een bovenliggende product-entiteit hebben."
"Please correct the parameters.","Corrigeer de parameters."
"File '%1' was not found or has read restriction.","Bestand '%1' is niet gevonden of beperking heeft gelezen."
"Minimum Qty","Minimum aantal"
"Add Minimum Qty","Voeg minimum aantal toe"
"Could not rebuild index for empty products array","Kan index voor lege producten niet opnieuw opbouwen"
"This product is out of stock.","Dit product is niet op voorraad."
"Some of the products are out of stock.","Sommige van de producten zijn niet op voorraad."
"The stock item for Product in option is not valid.","De voorraadstatus is ongeldig."
"Undefined product type","Niet-gedefinieerd producttype"
